[Thursday/February 23/02/2023 15:11:16] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E04 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.58 | time=1349.183
[Thursday/February 23/02/2023 15:11:20] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E05 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.7 | time=1348.557
[Thursday/February 23/02/2023 15:11:23] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E06 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.66 | time=1346.889
[Thursday/February 23/02/2023 15:16:34] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E05 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.7 | time=266.64198149999
[Thursday/February 23/02/2023 16:16:39] Videos/Anime/Gekijouban.Karakai.Jouzu.No.Takagi-san.2022.1080p.BDRip.10.bits.DD.x265-EMBER.mkv | length=4354.848 | time=4353.2986538019
[Thursday/February 23/02/2023 16:19:31] Videos/Anime/[Arid] 5 Centimeters per Second (BDRip 1920x1080 Hi10 FLAC) [FD8B6FF2].mkv | length=3765.765 | time=3584.2889922
[Thursday/February 23/02/2023 16:19:44] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E01 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1420.063 | time=1.7519967
[Thursday/February 23/02/2023 16:19:44] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E02 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1420.109 | time=0.0666
[Thursday/February 23/02/2023 16:19:45] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E03 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.64 | time=0.0336
[Thursday/February 23/02/2023 16:19:45] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E04 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.58 | time=0.0502
[Thursday/February 23/02/2023 16:19:46] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E05 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.7 | time=0.9841985
[Thursday/February 23/02/2023 16:48:25] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E06 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.66 | time=1329.2029970007
[Thursday/February 23/02/2023 16:50:08] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E07 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.66 | time=10.0929907
[Saturday/February 25/02/2023 14:45:42] Videos/John Wick Chapter 2 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/John.Wick.Chapter.2.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv | length=7343.264 | time=0.0424
[Saturday/February 25/02/2023 15:17:34] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_02_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1319.9838515005
[Saturday/February 25/02/2023 15:37:43] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_03_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1323.1122585008
[Saturday/February 25/02/2023 16:11:05] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_04_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1318.4330906008
[Saturday/February 25/02/2023 22:55:47] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_05_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1318.317
[Saturday/February 25/02/2023 23:11:35] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_06_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1322.571
[Saturday/February 25/02/2023 23:25:42] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_07_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1318.067
[Saturday/February 25/02/2023 23:26:23] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_08_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1.21
[Sunday/February 26/02/2023 15:39:41] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_11_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1478.555
[Monday/February 27/02/2023 14:53:08] Videos/Anime/Golden Time [Dual]/[Cleo]Golden_Time_-_12_(Dual Audio_10bit_BD1080p_x265).mkv | length=1482.481 | time=1320.1591144006
